[21:34:46] [Info] こんにちは！ Booting Zettlr at Sat Jul 17 2021 21:34:44 GMT+0530 (India Standard Time).
[21:34:46] [Info] Performing environment check ...
[21:34:46] [Info] [Application] Pandoc has been bundled with this release. Path: /tmp/.mount_Z.AppInqAAK9/resources/pandoc
[21:34:46] [Info] Environment check complete.
[21:34:46] [Info] Registering custom protocol safe-file
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/16/Thu took 128ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/16 took 350ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/17/Fri/this.Day/screenshots took 156ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/17/Fri/this.Day took 354ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/17/Fri took 357ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/17/Sun/this.Day/screenshots took 104ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/17/Sun/this.Day took 225ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/17/Sun took 266ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/17 took 688ms to load.
[21:35:19] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/18/Fri/this.Day took 128ms to load.
[21:35:19] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/18/Fri took 192ms to load.
[21:35:19] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/18/Wed/this.Day took 126ms to load.
[21:35:19] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/18/Wed took 140ms to load.
[21:35:19] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/18 took 360ms to load.
[21:35:19] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/19/Sat/this.Day took 286ms to load.
[21:35:19] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/19/Sat took 358ms to load.
[21:35:19] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/19 took 370ms to load.
